1,2,3,4,5,6,7,8,9,10,11,12
100,147,49,26,-122,97,-3,18,43,50,54,43
96,143,49,24,-117,96,0,17,43,50,52,40
94,147,54,21,-118,100,-4,14,40,50,51,39
90,153,64,14,-119,108,-8,12,39,49,52,41
87,163,79,5,-122,120,-10,12,38,47,52,45
81,173,93,-5,-125,133,-15,12,40,51,57,51
73,180,109,-16,-124,144,-19,9,44,61,64,58
69,182,114,-21,-124,148,-26,6,41,62,66,59
63,176,114,-25,-118,145,-36,-3,35,60,67,58
58,174,116,-28,-114,145,-41,-7,34,58,67,58
56,175,120,-31,-114,147,-43,-11,35,56,67,60
62,181,119,-28,-120,150,-48,-14,33,58,69,63
77,192,116,-18,-133,154,-53,-16,30,65,70,66
93,199,108,-6,-145,153,-60,-22,28,64,70,66
111,204,94,10,-156,148,-68,-27,26,58,69,65
133,207,76,30,-168,140,-73,-32,21,53,64,60
153,205,53,51,-178,129,-75,-36,14,46,58,53
161,206,46,58,-181,125,-72,-37,14,43,52,51
159,204,47,58,-180,124,-65,-35,20,43,50,52
140,191,53,45,-163,121,-59,-33,21,44,48,51
110,172,64,24,-139,117,-56,-31,20,46,47,50
85,157,72,8,-119,115,-47,-28,19,46,48,49
65,148,83,-7,-105,115,-38,-24,20,47,50,51
49,137,88,-17,-91,111,-31,-18,24,50,55,51
34,124,91,-27,-78,107,-25,-10,30,54,62,54
24,117,95,-34,-69,106,-24,-6,32,56,64,54
14,110,97,-39,-60,103,-24,-5,31,55,62,53
13,102,91,-38,-55,97,-22,-4,27,51,57,50
15,91,78,-30,-51,85,-18,-4,21,46,49,45
18,82,66,-22,-48,74,-20,-10,12,39,40,38
23,76,55,-14,-47,65,-28,-20,1,31,32,29
27,65,40,-5,-44,53,-28,-25,-3,25,27,24
32,56,26,5,-42,41,-23,-29,-4,21,25,25
37,53,16,12,-42,35,-23,-30,-2,20,25,24
41,52,13,16,-44,33,-24,-27,2,21,26,23
44,55,13,17,-48,34,-21,-29,1,22,24,19
43,57,16,15,-47,37,-16,-30,2,21,21,15
44,53,12,18,-46,32,-15,-31,-5,10,17,8
46,45,-1,24,-43,22,-16,-35,-15,-3,10,-2
23,32,11,7,-25,21,-10,-28,-17,-10,8,-2
-15,22,37,-25,-2,30,-1,-17,-13,-12,8,2
-45,19,66,-55,15,42,3,-9,-3,-4,15,8
-74,25,99,-85,26,62,5,1,11,12,27,18
-67,28,95,-80,21,62,-2,-6,9,15,26,16
-40,31,73,-55,5,52,-12,-19,-3,12,20,10
-29,29,59,-43,1,45,-17,-24,-7,10,16,7
-26,23,49,-36,3,35,-19,-25,-6,9,13,6
-23,19,43,-31,3,31,-20,-21,-3,13,19,11
-15,19,33,-23,-1,26,-20,-19,-3,19,27,16
-6,12,18,-11,-1,16,-19,-18,-1,19,27,13
3,3,1,1,-1,2,-18,-18,-1,13,19,6
19,-1,-17,18,-7,-9,-10,-3,3,10,12,-2
33,2,-29,32,-15,-13,4,22,13,8,7,-11
37,1,-35,37,-17,-16,22,43,31,14,7,-12
32,-1,-32,33,-13,-16,43,66,55,23,14,-8
28,8,-19,25,-16,-5,50,87,85,46,34,12
27,23,-3,17,-23,11,49,108,121,76,60,40
36,48,14,13,-40,31,38,120,163,123,102,80
55,79,26,16,-64,52,17,123,212,179,154,126
94,110,18,39,-100,63,-17,107,250,235,210,180
147,145,-1,76,-144,72,-66,75,280,292,267,242
211,195,-14,114,-201,90,-135,29,311,359,344,317
279,258,-20,151,-266,119,-216,-27,338,433,431,405
357,338,-18,189,-346,159,-305,-80,378,518,531,504
439,428,-9,226,-431,208,-402,-131,427,613,640,610
509,511,4,254,-508,256,-497,-190,458,699,736,703
572,589,17,278,-578,302,-592,-253,481,780,825,788
606,617,12,299,-610,314,-666,-317,468,816,862,823
624,615,-8,317,-617,303,-727,-382,433,821,867,827
627,589,-37,333,-606,274,-774,-455,354,768,821,786
616,544,-71,346,-579,235,-811,-531,243,671,738,709
566,498,-67,319,-530,215,-820,-607,107,538,616,601
483,443,-39,262,-461,201,-805,-681,-51,369,461,465
394,383,-11,204,-387,185,-764,-711,-172,211,318,340
299,319,21,140,-307,169,-703,-711,-274,53,176,218
220,254,34,95,-236,143,-629,-688,-335,-63,64,118
155,194,41,58,-173,118,-546,-643,-365,-146,-23,34
103,158,56,26,-129,108,-459,-577,-367,-199,-78,-17
68,142,77,-3,-103,109,-369,-490,-335,-218,-100,-38
24,134,112,-43,-77,123,-287,-399,-273,-198,-88,-33
-21,131,153,-86,-53,142,-214,-301,-187,-143,-49,-3
-26,127,155,-90,-49,142,-163,-221,-106,-83,-9,24
-9,121,132,-70,-54,127,-130,-154,-34,-26,28,46
2,108,107,-52,-53,107,-99,-104,19,21,56,65
5,89,84,-39,-45,86,-69,-70,51,49,73,73
9,66,58,-24,-36,63,-53,-58,57,57,70,67
11,44,33,-10,-26,39,-48,-62,44,48,52,49
13,28,15,0,-19,21,-41,-69,25,27,25,27
18,17,0,10,-16,9,-33,-77,9,4,-5,7
21,19,-3,14,-18,7,-28,-78,0,-10,-18,-4
24,25,1,12,-23,13,-25,-75,3,-13,-15,-5
29,34,6,12,-29,20,-22,-66,18,-3,-3,3
30,42,12,9,-34,26,-18,-52,38,15,12,18
35,42,8,15,-37,24,-13,-44,53,34,25,28
37,36,-1,20,-35,18,-8,-41,59,48,34,32
24,28,5,10,-25,17,-3,-44,61,51,36,31
3,20,18,-6,-10,20,2,-50,58,45,33,25
-15,16,31,-22,1,23,4,-57,46,33,26,19
-28,12,40,-33,9,25,4,-63,35,21,19,13
-20,20,40,-29,2,29,5,-62,35,15,17,11
1,35,34,-15,-17,35,8,-57,46,17,19,15
19,42,23,0,-29,33,9,-52,55,23,21,16
35,43,10,13,-37,26,11,-49,60,29,23,19
43,41,-1,23,-40,21,13,-46,66,34,24,18
49,37,-10,30,-40,14,15,-44,67,37,24,14
51,40,-10,32,-45,16,18,-48,67,33,21,11
55,48,-7,32,-49,21,23,-56,63,23,12,8
38,48,10,16,-42,29,27,-59,58,18,12,8
10,43,33,-10,-25,38,32,-59,58,22,17,11
-4,41,45,-23,-17,45,32,-60,58,21,18,11
-11,44,55,-33,-15,50,29,-60,60,21,17,9
-13,45,58,-34,-15,53,28,-58,68,28,23,15
-11,47,59,-34,-17,54,27,-51,80,37,35,26
-14,49,64,-38,-15,57,28,-47,88,46,42,34
-20,51,71,-45,-14,61,30,-45,92,52,44,37
-26,50,76,-49,-10,62,29,-45,96,56,49,40
-28,45,73,-50,-7,60,24,-50,97,58,53,41
-25,40,65,-44,-7,53,19,-53,95,56,48,40
-18,34,53,-34,-6,44,16,-58,93,52,37,36
-4,34,38,-21,-14,36,12,-61,92,50,34,32
13,38,27,-6,-24,33,8,-63,93,50,36,30
23,42,19,2,-31,30,6,-67,91,45,34,26
29,46,18,6,-37,32,4,-71,87,40,31,23
18,50,31,-7,-32,41,13,-63,99,51,40,35
-3,52,54,-28,-23,53,29,-46,116,69,59,56
-23,50,74,-48,-12,61,37,-43,125,79,69,63
-45,45,89,-66,1,65,38,-53,127,84,75,62
-29,47,76,-52,-8,62,33,-59,123,81,75,59
8,56,49,-19,-30,52,23,-66,119,74,70,54
28,61,33,-2,-42,47,19,-68,118,71,68,52
38,62,25,7,-48,44,18,-69,120,70,64,53
43,61,19,14,-50,40,19,-69,124,69,63,53
49,60,12,20,-53,35,18,-67,129,69,64,54
50,53,4,24,-50,29,13,-69,130,69,63,52
47,45,-2,25,-44,21,7,-73,131,70,61,50
53,44,-9,32,-46,18,2,-75,132,70,59,48
60,45,-14,39,-51,16,1,-77,133,70,58,47
63,49,-13,40,-55,18,0,-74,134,71,61,47
60,52,-8,35,-54,22,1,-69,134,73,66,48
58,54,-4,32,-54,25,2,-67,135,73,66,47
60,56,-4,33,-56,26,1,-70,136,71,61,43
72,64,-7,41,-66,27,0,-71,138,69,58,38
96,80,-14,56,-87,33,-2,-69,140,66,58,33
116,92,-23,71,-102,34,1,-69,140,61,53,32
136,102,-34,86,-117,34,6,-66,140,54,49,33
124,104,-20,74,-113,41,10,-54,152,65,60,43
90,98,10,42,-93,55,19,-38,171,86,79,59
73,100,25,26,-85,62,22,-28,188,103,92,71
64,99,36,15,-80,68,22,-24,204,119,100,83
45,94,50,-1,-68,72,29,-19,216,134,110,94
17,88,71,-24,-52,79,35,-11,226,147,120,105
